node_id,topology,hop_count,payload_bytes,algorithm,algo_type,operation,security_level,cycles,time_us,energy_uj,energy_mj
2,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
8,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
3,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
7,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
4,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
9,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
5,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
6,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
2,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
8,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
3,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
7,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
4,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
9,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
5,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
6,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
2,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
8,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
3,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
7,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
4,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
9,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
5,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
6,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
2,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
8,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
3,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
4,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
9,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
5,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
2,star,1,100,SPHINCS256,SIG,KEYGEN,5,24000000,750000,49500,49.5
8,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
3,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
4,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
9,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
5,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
2,star,1,100,SPHINCS256,SIG,ENCAP_SIGN,5,540000000,16875000,1113750,1113.75
8,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
4,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
5,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
2,star,1,100,SPHINCS256,SIG,DECAP_VERIFY,5,22000000,687500,45375,45.375
8,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
4,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
5,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
