15,ML-KEM-1024,KEM,0.0229,0.0245,0.0282,1568,3168,1568
15,Falcon-512,SIG,7.3703,0.2846,0.0546,897,1281,752
15,Falcon-1024,SIG,24.2350,0.6277,0.1214,1793,2305,1462
15,ML-DSA-44,SIG,0.0416,0.0998,0.0389,1312,2560,2420
15,ML-DSA-65,SIG,0.0663,0.1849,0.0636,1952,4032,3309
16,Kyber512,KEM,0.0404,0.0194,0.0139,800,1632,768
16,Kyber768,KEM,0.0231,0.0240,0.0187,1184,2400,1088
16,Kyber1024,KEM,0.0280,0.0324,0.0250,1568,3168,1568
16,ML-KEM-512,KEM,0.0139,0.0147,0.0164,800,1632,768
16,ML-KEM-768,KEM,0.0196,0.0197,0.0238,1184,2400,1088
16,ML-KEM-1024,KEM,0.0281,0.0288,0.0328,1568,3168,1568
16,Falcon-512,SIG,8.8068,0.3397,0.0653,897,1281,752
16,Falcon-1024,SIG,24.4098,0.6453,0.1233,1793,2305,1462
16,ML-DSA-44,SIG,0.0495,0.1307,0.0480,1312,2560,2420
16,ML-DSA-65,SIG,0.0816,0.2056,0.0768,1952,4032,3309
17,Kyber512,KEM,0.0446,0.0168,0.0139,800,1632,768
17,Kyber768,KEM,0.0268,0.0446,0.0207,1184,2400,1088
17,Kyber1024,KEM,0.0344,0.0375,0.0319,1568,3168,1568
17,ML-KEM-512,KEM,0.0282,0.0200,0.0211,800,1632,768
17,ML-KEM-768,KEM,0.0229,0.0229,0.0257,1184,2400,1088
17,ML-KEM-1024,KEM,0.0382,0.0388,0.0416,1568,3168,1568
17,Falcon-512,SIG,11.7261,0.4596,0.1014,897,1281,752
17,Falcon-1024,SIG,23.3979,0.5904,0.1137,1793,2305,1462
17,ML-DSA-44,SIG,0.0345,0.0923,0.0324,1312,2560,2420
17,ML-DSA-65,SIG,0.0604,0.1480,0.0535,1952,4032,3309
18,Kyber512,KEM,0.0372,0.0167,0.0129,800,1632,768
18,Kyber768,KEM,0.0197,0.0213,0.0167,1184,2400,1088
18,Kyber1024,KEM,0.0253,0.0291,0.0233,1568,3168,1568
18,ML-KEM-512,KEM,0.0127,0.0168,0.0144,800,1632,768
18,ML-KEM-768,KEM,0.0188,0.0190,0.0209,1184,2400,1088
18,ML-KEM-1024,KEM,0.0245,0.0263,0.0286,1568,3168,1568
18,Falcon-512,SIG,7.8686,0.3051,0.0580,897,1281,752
18,Falcon-1024,SIG,23.1526,0.5945,0.1142,1793,2305,1462
18,ML-DSA-44,SIG,0.0333,0.1023,0.0315,1312,2560,2420
18,ML-DSA-65,SIG,0.0562,0.1463,0.0529,1952,4032,3309
19,Kyber512,KEM,0.0337,0.0163,0.0117,800,1632,768
19,Kyber768,KEM,0.0190,0.0216,0.0167,1184,2400,1088
19,Kyber1024,KEM,0.0246,0.0277,0.0217,1568,3168,1568
19,ML-KEM-512,KEM,0.0123,0.0143,0.0141,800,1632,768
19,ML-KEM-768,KEM,0.0176,0.0202,0.0203,1184,2400,1088
19,ML-KEM-1024,KEM,0.0353,0.0350,0.0391,1568,3168,1568
19,Falcon-512,SIG,8.1965,0.2972,0.0584,897,1281,752
19,Falcon-1024,SIG,24.3841,0.6244,0.1222,1793,2305,1462
19,ML-DSA-44,SIG,0.0389,0.0956,0.0423,1312,2560,2420
19,ML-DSA-65,SIG,0.0686,0.1621,0.0598,1952,4032,3309
20,Kyber512,KEM,0.0352,0.0195,0.0131,800,1632,768
20,Kyber768,KEM,0.0214,0.0230,0.0172,1184,2400,1088
20,Kyber1024,KEM,0.0259,0.0307,0.0238,1568,3168,1568
20,ML-KEM-512,KEM,0.0169,0.0158,0.0164,800,1632,768
20,ML-KEM-768,KEM,0.0200,0.0231,0.0223,1184,2400,1088
20,ML-KEM-1024,KEM,0.0270,0.0286,0.0342,1568,3168,1568
20,Falcon-512,SIG,9.0148,0.3635,0.0719,897,1281,752
20,Falcon-1024,SIG,28.8729,0.7457,0.1462,1793,2305,1462
20,ML-DSA-44,SIG,0.0393,0.1106,0.0367,1312,2560,2420
20,ML-DSA-65,SIG,0.0701,0.1771,0.0636,1952,4032,3309
